,player,main.filter_depth.value_path,main.filter_depth.value_max,main.filter_depth.value_sum,main.filter_depth.value_levelmean,main.filter_depth.value_EV,main.filter_rank.value_path,main.filter_rank.value_max,main.filter_rank.value_sum,main.filter_rank.value_levelmean,main.filter_rank.value_EV,main.filter_value.value_path,main.filter_value.value_max,main.filter_value.value_sum,main.filter_value.value_levelmean,main.filter_value.value_EV
55,user59,-281.74722015475373,-282.7923651493691,-282.7923651493691,-282.7923651493691,-374.45695167130054,-394.02549541013394,-644.1870202960285,-603.7919388373343,-387.688782373643,-457.92774150398776,-397.9384089754999,-648.5114709692378,-607.6835363428622,-391.86959731240404,-458.18996774439887
56,user6,-435.982967095877,-435.98296709587686,-435.98296709587686,-435.7346302278365,-482.01824353356784,-525.3043142940754,-673.6107522946178,-659.349741647939,-514.3253588935602,-546.5287985172351,-524.8627540204486,-673.2283757553938,-662.4911055259674,-517.8086938177149,-547.1262582067745
57,user60,-649.2446042821141,-649.2446042821141,-649.2446042821142,-649.2446042821141,-638.8826549833108,-666.2755234624506,-707.3890069942372,-700.2269802388694,-659.1023690735055,-666.102374260658,-673.4903239487394,-710.3272536065831,-701.3572477522359,-658.1413158759749,-667.4685489551341
58,user61,-608.4879114757985,-608.4879114757985,-608.4879114757987,-608.4879114757985,-606.9115238779746,-633.706307212597,-701.4351596974047,-687.8667724372453,-638.4725772442129,-624.989026424106,-639.8198348486159,-703.1807333959309,-685.8904824442127,-639.5284307285868,-631.1839154165239
59,user62,-635.1547411627791,-649.1889187864892,-648.2406262816899,-631.6085334251696,-635.154741162779,-651.0805435933529,-689.3919694575636,-684.3438681669138,-638.79417011963,-651.0805435933529,-651.080543593353,-690.3664142408995,-681.2533588494318,-637.2498474971934,-651.0805435933529
60,user63,-571.3726960025417,-571.3726960025417,-571.3726960025417,-566.5893250084921,-569.8403078463195,-601.6478053091972,-694.5146244577686,-684.5045968264883,-600.4382992094647,-598.9588613985749,-601.7559756004732,-695.0683809534933,-684.7582187925195,-599.303066278301,-598.7621877579794
61,user64,-647.8558974067184,-645.8115713073576,-647.8558974067172,-647.8558974067168,-639.3615566053019,-675.2515060415092,-703.7374484096285,-702.5485503987643,-667.4241510796182,-670.7404041957857,-678.5962242192616,-703.861310952756,-704.2106622595331,-668.8870399512277,-674.2040905526499
62,user65,-331.44492213623795,-416.138752161129,-394.6994412766121,-351.051275570037,-413.44172454526944,-366.26837414947397,-608.5980937339814,-521.4995845255495,-364.3691195906839,-430.6761837964178,-366.89324775273803,-613.1112398382348,-523.0955639811268,-368.34547975634064,-435.93431203326287
63,user66,-408.04242273227555,-408.18503730455177,-408.18503730455177,-402.3938179860214,-459.9340201522361,-510.912814929148,-667.2708406832832,-624.5572547720399,-467.69990061422965,-531.4006180841407,-519.5727577390753,-668.9436464669966,-630.7161356781193,-469.2200686857516,-537.131941971361
64,user67,-356.8914957550256,-356.89149575502563,-356.8914957550256,-356.8914957550256,-379.869617200187,-491.2354663670527,-635.4510505112285,-639.421921611485,-477.4110858896197,-499.29109584008756,-498.4849250563433,-643.8022856650038,-645.0458327435294,-484.4250843958775,-505.60301669600705
65,user68,-543.7744499896114,-555.4570308599626,-555.4570308599626,-546.6200468883862,-552.3295408524732,-571.0038276593609,-689.0242276579138,-656.6504836954678,-568.5998511314523,-564.1539383661238,-564.0748233461482,-684.5331320930198,-656.273067037648,-565.6989413089354,-561.9696915563111
66,user69,-508.0579398265833,-508.0579398265834,-508.0579398265833,-508.0579398265834,-507.32452587962547,-616.960219534303,-692.1651750047747,-684.6984514893281,-603.0966860274623,-609.016156964185,-617.6868688083556,-694.2418340395075,-685.2495099354633,-601.5399778390172,-606.6291989802028
67,user7,-606.3669339579974,-606.3669339579976,-606.3669339579969,-604.9209245640134,-600.3275185328962,-643.7039902199299,-698.4379211486341,-688.4496826592972,-632.6692317894033,-634.360629584638,-643.7113031878696,-701.0062245371478,-689.6702774256751,-635.8710294520877,-637.5578368445374
68,user70,-407.2585705408971,-407.2585705408971,-407.25857054089715,-407.25857054089715,-401.83465983686534,-527.8486948770017,-666.8008680593816,-661.1787017188719,-504.19937003519516,-512.3013627250964,-533.7467770025025,-674.243961688132,-661.8261499181588,-511.1397838314886,-513.8412017956132
69,user71,-259.5104943128132,-259.51049431281314,-259.51049431281314,-259.5104943128131,-341.6468651248978,-396.69744998543945,-634.8930340332474,-593.0279899162645,-358.3009038990224,-449.0737019214641,-400.501510868883,-642.0978280904212,-597.6840150188673,-358.63967205207695,-447.53224937796296
70,user72,-405.1097224549816,-405.1097224549816,-405.1097224549816,-405.1097224549815,-439.8322029465772,-508.92286380488224,-644.1593992946878,-642.3328791002187,-497.4432580242807,-532.4945014310813,-516.4914620180538,-646.9249272203765,-638.6717989883705,-500.1096234468559,-537.163359366647
71,user73,-609.8007308874691,-609.8007308874691,-609.8007308874692,-609.6325780170324,-597.6492117752143,-612.8838467282092,-686.2749197118059,-666.3282739972049,-612.0214831103037,-595.1480051188962,-616.9240299879165,-690.4137637383949,-667.1448134559457,-616.0505912627327,-599.7738619356553
72,user74,-653.8747375483279,-653.5828703690597,-653.8747375483279,-653.8747375483279,-647.467918430906,-675.9850803221161,-709.6735023186762,-698.9543251968469,-663.2047222308572,-667.3152334694014,-676.5577512930449,-709.617798143985,-700.576571757375,-661.702487370608,-668.95412257936
73,user75,-351.46775976721653,-351.4677597672165,-351.4677597672164,-351.4677597672164,-358.9674802923212,-486.0246944239209,-648.7824654815595,-636.8493907214535,-461.12175325480155,-498.8517645260231,-486.1960207313723,-651.4735606536829,-637.2000465867004,-467.25084076515674,-504.65043739952563
74,user76,-722.5207446208785,-725.1089158151142,-720.4804290718253,-721.9042561673252,-721.2561796714826,-720.1464389484627,-724.74542388776,-720.274583310163,-720.5148518716541,-722.2545744991673,-720.7323466557227,-724.8257279955362,-722.2669498851576,-721.7330951770512,-721.8976969295732
75,user77,-514.6439089886999,-516.7848055692848,-517.6244131286669,-508.5332099105214,-508.9860168329552,-546.3282289182046,-671.4363730051725,-642.7315492182674,-534.157575056222,-526.7454322194101,-547.3557095577711,-675.8474648301539,-653.1781212423939,-546.3222124814145,-535.445808490833
76,user78,-378.2476366894142,-378.2476366894142,-378.24763668941426,-378.2476366894142,-392.6666493304318,-529.6519644205262,-657.0304507222772,-646.7046018559723,-499.12641405240026,-522.0984228909231,-534.7769433865742,-662.9422604755389,-650.6319884990321,-500.8464656158468,-524.1626496901966
77,user79,-647.7751044727347,-643.3761087958646,-647.7751044727347,-647.7751044727348,-638.2068114887284,-668.5364750355834,-701.9828638595059,-700.7763722822353,-661.5074539316133,-662.546376806531,-671.6591367983119,-707.9838048032268,-701.8849542206499,-663.7637519621337,-664.4669852756895
78,user8,-441.10002678867113,-437.2620315499238,-443.4355628779117,-439.2041121092366,-451.5929165588506,-484.82272342468,-631.994459797572,-625.7234536829328,-492.3615634446133,-487.5544272182469,-490.62629572891956,-637.0367147931676,-628.8709563530491,-496.15743603122064,-493.4847121513056
79,user80,-717.3772603986445,-720.5017073736101,-720.1888883391191,-720.5017073736497,-716.8048614494403,-714.7258827021742,-726.071346155127,-722.787724248441,-717.6470675434043,-715.9892671700345,-717.5024534196014,-726.6763844164643,-722.9487571582408,-720.0147129102045,-716.5680687377371
80,user81,-535.4360325559442,-540.0153281532457,-540.0153281532456,-534.11009657054,-525.7982165145597,-574.5806125995518,-683.6942621455682,-653.2396070941963,-560.1215795954265,-549.5055178733717,-576.3935363887458,-684.2864474438838,-652.4717880049204,-560.2594251280437,-552.8201580204222
81,user82,-663.5062831406085,-663.4556788978942,-663.5062831406085,-663.4189908878267,-664.9270352937922,-686.0106208787404,-714.5545981068781,-704.2945731052532,-678.6750998213067,-684.1599111359328,-684.7774348752981,-717.8398748955151,-707.1626686324455,-680.5185457628553,-683.1590152854794
82,user83,-605.1048318840269,-605.1048318840269,-605.1048318840276,-605.1048318840269,-604.8800688511617,-656.6773326864408,-702.7461770223658,-694.1085500242775,-645.4182379038255,-651.7784021668386,-655.7851403962485,-701.6412113231315,-694.4626034347066,-645.4072602757473,-650.2475638399491
83,user84,-395.4063592997548,-395.4063592997548,-395.4063592997548,-395.40635929975474,-466.0016451959879,-508.6560621979469,-646.2243710350758,-651.9169742793781,-494.5437578499829,-537.3366217034222,-512.8352245588003,-652.7324235615498,-651.5067378392878,-500.54795896971575,-534.0875576585656
84,user85,-726.727189079678,-724.8244650839683,-725.8608705846111,-726.6200871618917,-726.7020138391733,-721.3566442011249,-720.6223034610227,-725.4455712334059,-724.3552812905158,-724.2585951498111,-723.3729453611634,-725.0787140743419,-726.444187531222,-724.7488022769642,-724.2663275044661
