player,main.filter_depth.value_path,main.filter_depth.value_max,main.filter_depth.value_sum,main.filter_depth.value_levelmean,main.filter_depth.value_EV,main.filter_rank.value_path,main.filter_rank.value_max,main.filter_rank.value_sum,main.filter_rank.value_levelmean,main.filter_rank.value_EV,main.filter_value.value_path,main.filter_value.value_max,main.filter_value.value_sum,main.filter_value.value_levelmean,main.filter_value.value_EV
user5,-410.3500044434925,-410.35000444349254,-410.3500044434925,-410.35000444349254,-417.97292206917695,-518.0996564780687,-652.4094797244763,-653.6173009766355,-502.1770429483045,-516.2818125678799,-512.1854420476357,-652.7534999331282,-651.6634539657184,-500.84370101981534,-510.12864588280195
user50,-423.38529847798145,-432.60100973686485,-432.6010097368649,-419.50399033231895,-472.4997618481932,-477.7158066908716,-636.2432977780829,-601.2050884999635,-453.0569158979429,-518.1789735802056,-473.2402358460745,-637.2042533087047,-600.8131273828287,-453.16505316736766,-517.2142844580128
user51,-727.2274253213061,-726.895999316559,-726.4809545787722,-726.678482520229,-727.3735238051245,-723.2875108562778,-724.0186797118331,-725.65689236491,-724.9503254023813,-724.4049585573287,-725.3491970920669,-726.8358001884021,-726.2842092641617,-724.7433815513857,-726.3053193752371
user52,-726.3791062179632,-725.7169951346264,-725.3584603380359,-726.2763568345231,-726.3584801417367,-725.6929819731571,-723.7702203005343,-724.5022022017314,-722.9008119476259,-725.9226408941329,-725.5139496837039,-725.6764292167825,-725.2172815366324,-724.6890906200462,-725.5595389554073
user53,-601.2855090493744,-602.4919228861297,-602.4919228861297,-602.1594863197165,-606.4373625007217,-631.3826130394953,-689.0790601765118,-681.4443379547516,-623.3068399292702,-634.3294580954173,-633.6154373247392,-689.7313986505144,-675.9703664514263,-619.5555662984513,-636.3254482190601
user54,-718.2337642259245,-718.7035695848081,-718.2136986020482,-717.1733807782939,-718.2337642259245,-718.1131565441249,-718.6120834390038,-720.8204975185702,-717.4458636347465,-717.9440120846559,-716.9889547214136,-722.2119700310709,-719.114587494608,-717.1369377754006,-716.9889547214136
user55,-689.7146336827893,-691.1186697558951,-692.3080479718237,-691.9430178496452,-688.5446357323256,-699.2151444486774,-717.0623134917503,-711.4510648493383,-696.3918596273938,-698.822507734631,-698.9369004968144,-717.7141058974062,-712.5335779733684,-697.7885817656577,-699.112110801414
user56,-570.4876190624726,-572.8704936575764,-572.8704936575764,-572.8704936575765,-562.1616932990257,-607.2840222945978,-684.7896813617986,-664.0439833445574,-595.5067192179253,-599.2194631672442,-609.4684461336126,-690.4400554896524,-665.5576210953307,-597.1487135428617,-601.0880636385828
user57,-712.5775555962059,-712.9455676425955,-712.945567642586,-711.178015133992,-712.0442449063357,-712.4940640110856,-723.3517620694593,-720.9787118239605,-713.973538208395,-712.4940640110856,-711.1341604996576,-725.2469001757258,-719.5126606433412,-713.0188909618596,-711.1341604996576
user58,-563.3543876549452,-563.3543876549452,-563.3543876549453,-563.3543876549452,-566.7428667614515,-621.6867309629095,-695.8573565150641,-689.9941703655752,-610.4813979185615,-623.0988654901264,-623.8292316643201,-698.5185898368406,-688.6639197147101,-608.4482433827907,-620.7271998672918
user59,-456.89044845500666,-499.855399557112,-499.8553995571119,-470.5615876788723,-457.4961899921223,-465.77493627784213,-645.3681681004705,-602.2038410570302,-474.9386862472534,-466.8394196747599,-468.3477752960866,-646.9881487034138,-599.9795748113893,-476.33449250854864,-464.71494062866924
user6,-454.5611786498621,-504.3177650914611,-483.32010813843175,-446.37007048231226,-490.90818615641257,-477.54491594430834,-638.5498726906386,-568.5617603600183,-452.55684591262303,-501.1968194386011,-478.62987964218445,-635.0546486337527,-565.2761066499334,-454.006491887929,-500.0210207695715
user60,-406.5621023697387,-406.5621023697388,-406.5621023697387,-406.5621023697388,-421.28181328378855,-526.3843292351407,-659.2268455609142,-648.8266700282054,-517.2339591514062,-527.4943257913526,-526.9378058022753,-664.0286570643095,-650.6494988081129,-521.5508749939099,-529.4044888668325
user61,-309.3464655771729,-309.3464655771729,-309.34646557717286,-309.34646557717286,-394.15167391872944,-440.0867992663641,-642.7473134853269,-619.8945597184622,-406.9737637702057,-512.3830368520607,-439.57238372474586,-645.5651905985981,-624.7209456040423,-407.78669470058685,-511.92813803939436
user62,-528.9438099401448,-535.4278668433874,-536.3419255381052,-535.5537077388117,-540.4883855570013,-584.0058850903597,-675.2764958293853,-660.94083860352,-568.6694162252275,-595.3549698288334,-585.7700386778555,-673.7891365826702,-657.1974669588353,-570.3397036547753,-596.7366334257995
user63,-422.7826125098196,-425.8368427723084,-425.8368427723084,-419.3582705487737,-502.5748701537648,-488.7881124920926,-629.4016334019275,-611.9776494687648,-465.29890644830436,-552.4351884898709,-492.12441550134383,-634.7879957722348,-609.3865823040815,-465.73455541042057,-551.0272059525439
user64,-572.398521001546,-581.3794710190596,-581.8252491426495,-567.6718565276108,-556.4776947045635,-590.3250595550985,-670.8669291793663,-660.5069487303513,-573.9122786769976,-575.1046334468049,-587.1224888351376,-670.7329655640362,-662.5272648690884,-574.8480470368281,-571.8906055009957
user65,-484.9893261635505,-484.98932616355063,-484.9893261635506,-484.9893261635506,-550.7884528865575,-583.8124559517612,-689.5583148845162,-658.7061047706314,-541.9413344701886,-614.1037298809713,-585.5411975418017,-695.1239225645047,-659.995388945795,-541.4152668593971,-613.8551398713466
user66,-718.9672134170114,-717.9584999280266,-719.0335229761395,-719.4279633316805,-721.7409509721772,-718.3363096944345,-720.31969575463,-721.5172548619496,-717.0797181926306,-721.2169097113588,-715.2110313772962,-722.7455375111381,-716.3997353124926,-715.6617920905146,-719.7974597461318
user67,-439.21063656163693,-439.21063656163693,-439.21063656163693,-439.2106365616369,-436.5407972207993,-544.365852327089,-672.7684673796377,-662.8230992876058,-538.0024466943169,-557.9508803565429,-549.7911937336128,-675.1360646303812,-661.5876253768669,-537.4092340424593,-559.9139843266664
user68,-373.10004753667283,-373.10004753667283,-373.10004753667283,-373.10004753667283,-377.164598025538,-476.7363030464558,-631.2416437195325,-624.8034205629924,-463.8879352558361,-484.7469994382121,-480.6213202437024,-635.3306554701744,-624.629192721392,-465.5128964597891,-487.39515961175306
user69,-586.5329458592427,-587.5453967603827,-587.5453967603827,-585.2993639039246,-581.6205540658261,-613.1713063355005,-688.5499150137267,-675.7933459766932,-611.7223098228134,-606.2800507291777,-615.4380964777881,-692.8973426586799,-677.5972564019667,-614.3257871429335,-609.8351813555018
user7,-492.05331216222265,-492.05331216222265,-492.0533121622226,-492.0533121622226,-497.468367025439,-575.4603101047821,-673.6471029878471,-660.4913839538851,-552.4225359267291,-583.1331001761691,-577.9890167134486,-676.664286128482,-658.439358732048,-551.5679698928773,-582.9644078241136
user70,-719.3510309488772,-716.9489018486081,-718.4698853538241,-719.1959199377231,-718.3296542738431,-714.235895905427,-719.0408276088652,-716.1495896071328,-712.0580552127783,-714.009778501322,-717.6697317831229,-721.2728829036517,-718.5941114710083,-718.5849438852647,-717.1102345980294
user71,-384.3554519243837,-428.04845021786326,-413.7546136133232,-370.799737109934,-393.60938784321644,-417.6091959980433,-623.0656311799926,-566.3743094684377,-398.0907150278931,-431.9582003451887,-416.9762967942352,-621.3629965355082,-562.9482433871069,-398.0907150278931,-428.99415911237253
user72,-608.6841095442142,-608.6841095442142,-608.6841095442142,-608.6841095442142,-634.7271540407394,-645.3123051149475,-699.2248151420915,-697.3079414543046,-640.1070474635752,-669.1795590097151,-647.0865297798804,-699.2442969053119,-698.4582798253402,-642.638201581586,-668.7570120488992
user73,-520.9061499268673,-520.9061499268672,-520.9061499268672,-520.9061499268673,-520.652916344434,-592.4944796627993,-683.0543936521535,-666.2843367229846,-553.9364836299753,-595.480293783987,-590.4369360647753,-679.9353540213062,-667.0358438717985,-553.7229699123582,-595.1330465638773
user74,-726.4626534592088,-724.7078659269541,-727.0712267675793,-726.8903073100604,-727.0453130939964,-726.2217134818268,-722.2775924627709,-727.2295221910354,-725.2818111175379,-726.3286043984126,-726.698631501539,-724.8097155267159,-727.3558369125216,-726.6934295414326,-727.2925731192504
user75,-574.9191404039096,-591.9931261779135,-593.5810813568123,-574.0662740165476,-558.7841879489873,-580.6266497025688,-679.9643909785665,-644.7708399003252,-582.9968962528878,-559.1357799997795,-581.5479614466269,-682.147416663161,-647.3983589984193,-583.6424953061264,-562.5606605184034
user76,-522.975108457051,-522.975108457051,-522.975108457051,-522.975108457051,-568.6463467086935,-610.8728366724264,-689.9571418483758,-688.4364939218667,-586.6814737300022,-638.202775413338,-606.9613634838374,-688.789220075891,-688.435623059122,-580.9724971036367,-636.4320179735294
user77,-700.1672775053983,-699.7503714290269,-701.9710039153026,-701.9710039153031,-698.2061069917806,-701.004410688693,-716.0381838180565,-712.6315198495208,-704.7333792506861,-700.2327768922762,-701.4250039165236,-718.2437767106796,-711.3419955497543,-705.6727906250642,-700.4206551207194
user78,-393.07002819789824,-393.07002819789824,-393.07002819789824,-393.07002819789824,-480.65699766380374,-512.1325781223574,-665.6942126176768,-624.8453955014497,-473.63122040164967,-571.5749195921496,-516.4356965996077,-668.2522023434962,-629.6665393432867,-473.67653093059647,-570.1041189463081
user79,-351.14752582373944,-351.14752582373933,-351.14752582373933,-351.14752582373933,-350.2975991213726,-429.5326408211229,-622.7406268770937,-603.4730333251737,-434.8639001501361,-428.78267625114444,-433.3467559348117,-625.6401527713231,-603.4485936255489,-437.8479433168182,-433.602679561845
user8,-383.6412719023968,-449.2764800772927,-449.2764800772928,-407.9639361952676,-390.8556850656844,-385.15967535308914,-629.7911673422441,-557.1730453329328,-411.0042017586761,-391.0798708008049,-389.85521642489766,-634.7759672000467,-565.9401803223908,-413.4321227238155,-392.71099668107206
user80,-243.39403311115794,-243.39403311115774,-243.39403311115768,-243.39403311115797,-245.13363421627065,-413.8059686558065,-624.8392657389094,-611.7453991714818,-386.9819701753512,-420.61575166422097,-417.0572987552751,-630.3998965060262,-619.9916215997284,-388.35947458865974,-421.0302131492354
user81,-544.326203122137,-544.326203122137,-544.326203122137,-544.326203122137,-541.7123947413935,-587.2098720434258,-686.9970020232236,-664.56099215175,-578.618556745156,-583.9240626343033,-586.4457345236012,-687.3012974833201,-663.9399792817737,-580.8713463177888,-584.7040207481045
user82,-713.5087516937181,-713.1226604149938,-712.1276849477572,-710.7225745510871,-713.7543564100795,-716.1803428016258,-718.4943125536612,-719.6219653029655,-712.1127790083351,-716.2241103194663,-716.9632133831686,-719.7322007303279,-718.8828464702995,-713.900651649438,-718.0964626419247
user83,-597.2483760036886,-596.2974326321205,-601.7027552720363,-601.0737563352549,-635.3393900620247,-616.7336706742366,-685.4461690149278,-685.2183521653891,-625.1740923042953,-647.533745735752,-620.8411356988571,-687.3475121825178,-683.5463212087279,-627.459770773707,-647.3414810088044
user84,-574.9015097209818,-581.1021691583989,-581.1021691583989,-576.7024297339888,-594.5611916635634,-601.3504174297817,-690.1979313014069,-677.5497810231859,-603.431922399431,-617.7994201081399,-599.6992956568789,-691.7202605363436,-676.5869839317583,-604.1997166812515,-618.037912670771
user85,-288.16948079931444,-307.8196209555298,-307.8196209555298,-300.26294495494756,-354.53962972712924,-440.3829152237405,-644.0231272162493,-616.830406611473,-412.84477367592854,-480.02608297615876,-440.1323294510175,-647.3692853181044,-618.2737031875115,-414.58232430333777,-482.36836364765117
user86,-226.49988300949815,-226.49988300949818,-226.49988300949818,-226.4998830094982,-331.2917422267336,-417.98965493653265,-592.1301238129661,-587.2301615060195,-358.9152886069649,-473.60003651267647,-422.1141249205085,-590.9835039316762,-593.4499983048141,-359.442791464773,-471.06028276064643
