player,main.filter_depth.value_path,main.filter_depth.value_max,main.filter_depth.value_sum,main.filter_depth.value_levelmean,main.filter_rank.value_path,main.filter_rank.value_max,main.filter_rank.value_sum,main.filter_rank.value_levelmean,main.filter_value.value_path,main.filter_value.value_max,main.filter_value.value_sum,main.filter_value.value_levelmean
user56,-578.5138227599784,-578.5138227599783,-578.5138227599783,-578.5138227599782,-624.2745363617074,-700.9245962114896,-684.6384127992046,-613.154291243988,-628.3218748128273,-701.8165341014085,-685.978667586975,-616.1577715317985
user57,-148.1106664796645,-148.11066647966464,-148.11066647966447,-148.1106664796645,-386.1996593731884,-633.3251731191596,-611.7058110779266,-376.2701475022087,-388.1881373981675,-640.9993874332117,-620.3307022657448,-381.89878821191314
user58,-441.3520650387409,-441.3520650387409,-441.3520650387409,-441.35206503874093,-535.2065638693487,-664.7068998653278,-645.02306492554,-507.32279993921475,-539.0917739452275,-666.6003852510519,-650.6604998756732,-511.08566181360567
user59,-725.582515609295,-725.681980282885,-725.6381459499532,-725.1972377196075,-723.3830566077273,-725.8429822928651,-726.1603465551763,-722.5265151307701,-724.7798692759209,-726.2885103526482,-726.631598513123,-723.9923809209813
user6,-348.97063764132207,-348.970637641322,-348.9706376413221,-348.97063764132207,-497.25025368137074,-664.7112646038843,-657.6324576919578,-477.1466041316041,-507.45314435489337,-669.7357998302707,-660.2634119229533,-483.02094037813396
user60,-725.4644698782679,-725.2419413015197,-724.1484775207875,-724.6339091907208,-723.5197985476877,-723.5319119430776,-723.4648106602203,-723.59434864664,-724.4337020021323,-725.8159424657172,-723.797107685084,-724.0158443544904
user61,-322.8029460268235,-322.8029460268236,-322.8029460268235,-322.8029460268235,-487.29147093550523,-640.5786334230781,-628.2203282728715,-456.2908836719946,-494.21054344692686,-643.6730216335366,-631.4402802291129,-459.41715161312874
user62,-659.535485272346,-656.225110241266,-659.535485272346,-659.5354852723458,-688.710221442248,-709.1567262676492,-709.2889402607395,-685.6701596358373,-688.7746463882017,-710.2803764168918,-702.2555539330895,-682.3407137064321
user63,-463.89136928749144,-463.8913692874915,-463.89136928749144,-463.89136928749144,-548.2860329174829,-682.3048271605826,-663.8765858683713,-534.4299560825269,-546.5990147039115,-683.4342450677013,-665.7807182926523,-532.65805769246
user64,-725.5150352786383,-725.7159365897819,-726.4467112937845,-726.1975562598411,-723.7198398272742,-725.4197028421806,-726.373613448617,-725.7933553569055,-725.2356747685728,-726.2537887440672,-725.9708628461306,-725.7044712671204
user65,-417.66724146216995,-417.66724146217,-417.66724146217,-417.66724146217,-550.2022378638713,-670.77018597938,-653.3742888390912,-509.0478843734685,-556.0334949929434,-670.4035997235537,-652.6495560378465,-512.5847728991189
user66,-606.5418528906887,-613.9507338537915,-607.6479581737344,-603.6777895605726,-624.1826065596599,-686.5449240683936,-668.9609185739121,-622.4504304291765,-624.6459019523616,-685.926058764697,-666.7988446418037,-621.4804480427811
user67,-713.3469232285379,-712.1274545714659,-713.3469232285379,-713.3469232285379,-717.4579723637041,-723.3992563924376,-720.031296103714,-715.1855065759233,-718.823222997202,-725.375693919681,-723.1683317752652,-717.2745474513448
user68,-319.20015916200964,-319.2001591620097,-319.20015916200964,-319.20015916200964,-445.740020872398,-645.1482333789005,-632.6990025065788,-440.25222602845264,-444.2867262028114,-648.9247109968364,-639.1449642832099,-441.5111051139028
user69,-585.3824959166132,-585.3824959166132,-585.382495916613,-585.3824959166132,-623.8965679642232,-685.8005324081196,-686.1877145682392,-623.6335204355955,-625.2792521221719,-685.3834083898503,-685.3157958826705,-623.7029500943767
user7,-498.62800624991445,-498.62800624991445,-498.62800624991445,-498.62800624991445,-567.1000882544804,-680.8935802956184,-675.927277231087,-574.5149268627339,-564.7104103824607,-682.326340937683,-679.2415562444062,-578.1260999591275
user70,-604.5881647662206,-604.5881647662206,-604.5881647662206,-604.5881647662206,-646.1479695723606,-698.5170906928096,-681.6531077436935,-639.0289686427249,-651.7379117336653,-703.9367150858725,-686.7674315583661,-641.8677792647682
user71,-111.84809782368306,-111.84809782368269,-111.8480978236826,-111.84809782368244,-396.79438211428294,-627.9373514773133,-595.940495014077,-348.4790227611878,-405.53307263528245,-632.3492040000338,-604.7815996170706,-354.6889949153726
user72,-534.9476944899884,-531.433008279138,-534.9476944899886,-534.9476944899885,-605.4624576922823,-678.998545963918,-664.1671950481472,-579.3407707060678,-607.5682718917783,-675.4394036288072,-660.3156907486134,-575.2533491022775
user73,-724.0059314936252,-722.0723859421562,-723.1742898699842,-724.0743937320035,-724.6349403208048,-724.6699879436069,-725.086164755473,-724.9442472133335,-724.4948234491601,-724.9645213622529,-725.5951098699079,-724.384809774574
user74,-649.6953121946239,-649.6953121946237,-649.6953121946237,-649.6953121946239,-673.5926073284195,-711.681878672056,-703.9889361623977,-669.7120255662398,-672.9622239303126,-711.755931613862,-703.3529803976876,-666.1796541322633
user75,-720.0597186907967,-720.1216918011064,-720.3346849808038,-721.120926675115,-720.1192281911469,-719.6853529887335,-722.9333506222179,-722.2802341131523,-721.7144826937988,-720.2334748407438,-724.1804393620614,-721.3534599920742
user76,-547.3098656406055,-547.3098656406055,-547.3098656406055,-547.3098656406055,-614.7646339461394,-692.5476813473156,-687.1192343926909,-608.4989681291988,-615.9550403955559,-701.2297566166235,-693.05031362347,-610.722453140937
user77,-155.78856411085326,-155.7885641108533,-155.78856411085337,-155.78856411085326,-400.2648346034979,-627.6920784136719,-596.2050946149208,-343.811398099267,-411.7271409054391,-630.361902517408,-599.6687144451975,-344.52638260962595
user78,-718.9416532297757,-717.3532546965116,-719.996210593428,-718.5289455522011,-721.4962020046987,-718.0018153430115,-722.1466356542887,-718.1894185881663,-721.6858010790493,-721.6755488997485,-722.4772438561179,-717.789046312904
user79,-471.44694915835134,-471.4469491583513,-471.4469491583513,-471.4469491583513,-550.2364168934755,-672.5916323446729,-646.907873393121,-533.0616647931587,-554.5492709435525,-677.4782680267658,-652.9416686402963,-539.1902527816528
user8,-588.9740204517445,-592.0296129739957,-592.0296129739958,-592.0296129739958,-618.689288536056,-689.9840429746795,-675.8237109564095,-617.7340003174572,-616.6872680256611,-696.1020928469404,-671.1604857913092,-620.2360039907153
user80,-397.2291577345309,-397.2291577345309,-397.22915773453093,-397.2291577345309,-506.6038628853154,-653.0242123920332,-627.4927511383587,-480.2258568261151,-504.6205443860516,-661.7233747805483,-626.1221649359703,-482.17970700748816
user81,-699.4493862859786,-697.8260124420508,-699.4493862859786,-699.4493862859786,-704.9453129822477,-713.0953619807135,-713.5300374744432,-704.7049547786421,-704.9207972624644,-714.7976334593711,-713.0335023160649,-702.9493004629844
user82,-679.0179993762354,-679.0179993762354,-679.0179993762354,-677.6528085863908,-685.5759043032724,-709.648265634987,-704.2235057876392,-679.4061991673032,-688.2956636194149,-712.4681799533269,-706.2143194516473,-681.096006076998
user83,-171.3403158006257,-171.34031580062575,-171.3403158006258,-171.34031580062566,-428.4997268011101,-642.2340806623586,-606.2464853187246,-391.3102315719209,-432.3193862894117,-649.3514694504605,-607.5738146588819,-398.8363994212098
user84,-660.3774653300757,-671.3729848119765,-671.3729848119765,-663.2213109422532,-673.124308849214,-702.8687020900993,-690.8318214521914,-664.6938906834794,-670.6900800120534,-703.4899670407356,-691.9041811014204,-662.9496145977164
user85,-724.7362846696404,-725.0973708704344,-724.4157272113814,-724.1677784183685,-723.8373311127283,-725.9911592560699,-723.7617949604913,-722.3281882528202,-725.1628479611711,-726.9542855363331,-724.1882581146849,-724.9174187546762
user86,-409.13201063511775,-409.13201063511787,-409.1320106351178,-409.1320106351178,-505.8743467104186,-662.6131785252492,-637.9614453345762,-496.0964073401611,-508.79969240767366,-663.603809760508,-643.9563658108597,-501.5705555240743
user87,-705.1923770750038,-702.23843426436,-701.6575357377451,-699.9496746565417,-713.8591364866638,-712.2171829741985,-713.9260155836478,-698.909406586005,-713.8881419847974,-716.0632531209282,-713.9496843834582,-706.1856086250408
user88,-714.037721115031,-712.558823534496,-710.057125251966,-713.094730895885,-712.8521504790054,-719.1243756601372,-713.5440556419885,-710.4925437462651,-710.8696633326272,-719.2980642805438,-714.0257380732976,-712.9476238968817
user89,-343.9549872871098,-343.9549872871098,-343.9549872871098,-343.9549872871098,-487.55485310753545,-648.976472187348,-622.5082283616273,-453.13375732983286,-493.63911009022297,-652.1739199719302,-624.7375004398061,-458.67792163137267
user9,-619.2931194708506,-619.2931194708506,-619.2931194708505,-618.4215399894814,-649.588684265233,-695.4598640523368,-681.848692727486,-634.9603470968582,-652.616991061023,-697.5889334346441,-685.5517483777426,-636.7937992828715
user90,-540.3198492141537,-540.3198492141537,-540.3198492141537,-540.3198492141537,-581.1465949646315,-686.8594750844129,-663.9263521951043,-574.5050183388545,-578.931526642475,-688.7204085316237,-662.8948464213822,-572.9177713220533
user91,-604.9507899209246,-604.9507899209246,-604.9507899209243,-604.9507899209252,-659.5276679495673,-703.9434634115214,-706.9432035163904,-651.1230698628925,-658.634583727307,-700.3554779155544,-708.0750850302938,-653.6490046264253
user92,-707.2803025940582,-705.4212584095499,-707.7678632504353,-707.8076149774311,-717.8787204338068,-720.3998879745068,-716.7162122083807,-708.0548284928188,-717.4038748274725,-722.823422411768,-716.5289647794652,-709.245646027372
user93,-711.6013621091172,-711.4799368901281,-710.724523660826,-710.5921589437903,-713.2319729913413,-716.557390910611,-718.7674620402647,-712.2817158942157,-711.9348923722923,-717.8709379808934,-717.4126755788247,-711.0677218620399
user94,-646.8266774202875,-646.8266774202875,-646.8266774202875,-646.8266774202874,-664.8003577642796,-701.3705142849132,-695.8910127364015,-661.8314188550676,-656.5230133792683,-704.2789342149495,-693.5162028050026,-656.9318676731034
user95,-723.4859030882375,-725.3976282270135,-724.4336565369053,-725.0879472128173,-722.3464518890794,-724.3990968970695,-722.3380780747461,-723.4859094193848,-722.4889672387735,-724.9127230544973,-724.6508381303472,-723.9917149291314
user96,-406.02809443712863,-406.02809443712863,-406.0280944371286,-406.02809443712863,-510.4477860903764,-668.2412817139233,-631.214803737289,-485.7388003266028,-515.2930426374132,-673.6255689411157,-637.039228204134,-488.08640029900585
user97,-579.6464265076136,-579.6464265076136,-579.6464265076137,-576.801653679841,-616.1995532586025,-677.0285357160803,-674.784506849343,-603.9844630207144,-615.5778573638872,-675.3848525503979,-670.3127772365403,-601.7060473620456
user98,-232.2323723727202,-232.23237237272028,-232.2323723727202,-232.23237237272016,-392.58334801216336,-618.1344147935674,-605.7504644001857,-385.1797343345048,-397.88092462666475,-626.3888000707027,-606.1213173726469,-388.4239930282921
user99,-460.8099774261168,-460.80997742611686,-460.8099774261168,-460.80997742611686,-548.5233260003108,-668.6536040994758,-648.994089027465,-521.1540051148074,-556.5176425290676,-669.7605234829261,-648.895495678634,-524.4556360516258
